metric,group,p0,p1,delta_p1_minus_p0,unit
Transitive leakage,network-native,96.28,77.66,-18.62,leak_rate_percent
Cross-cluster leakage,network-native,87.5,69.64,-17.86,leak_rate_percent
Amplification factor,network-native,1.6092,1.5497,-0.0595,facts_per_leaking_answer
Confused-deputy success,authority-chain,47.0,2.0,-45.0,attack_success_percent
Should-answer,utility,75.87,63.95,-11.92,correct_decision_percent
Authorized create,utility,98.37,86.68,-11.69,correct_decision_percent
Authorized complete,utility,91.74,88.26,-3.48,correct_decision_percent
Should-refuse,bilateral safety,16.19,73.38,57.19,correct_decision_percent
Unauthorized mutation,bilateral safety,29.57,85.22,55.65,correct_decision_percent
Confused deputy,authority-chain,53.0,98.0,45.0,correct_decision_percent
Cross-surface plant,bilateral safety,0.0,94.0,94.0,correct_decision_percent
Transitive risk,network-native,3.72,22.34,18.62,correct_decision_percent
Cross-cluster,network-native,12.5,30.36,17.86,correct_decision_percent
Non-contact probe,infrastructure,100.0,100.0,0.0,correct_decision_percent
